game_id,team_id,player_id,side_id,opp_team_id,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc
20191024-2015-camdenhells-rockets,camdenhells,lostangels-rob,0,rockets,12,6,7,85.7,6,7,85.7,0,0,0,0,0,0,0,4,4,2,2,0,0,0,3,2,1,1,0,1,13,-17,1830,-6,-5,-8,6,-3
20191024-2015-camdenhells-rockets,camdenhells,rockets-malachi,0,rockets,4,1,6,16.7,1,6,16.7,0,0,0,2,7,28.6,2,8,10,1,7,0,1,0,3,1,2,6,3,3,2,-17,1911,-7,-4,-8,4,0
20191024-2015-camdenhells-rockets,camdenhells,camdenhells-jess,0,rockets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,-1,-14,1308,3,-2,-13,13,-3
20191024-2015-camdenhells-rockets,camdenhells,camdenhells-davidgalindo,0,rockets,7,2,8,25.0,1,5,20.0,1,3,33.3,2,2,100.0,0,1,1,2,2,2,0,0,0,0,0,2,1,1,6,-10,1496,-6,-1,-8,6,-1
20191024-2015-camdenhells-rockets,camdenhells,lions-kata,0,rockets,5,2,6,33.3,2,5,40.0,0,1,0,1,2,50.0,0,0,0,0,2,1,0,0,4,2,2,1,1,0,-4,-4,1004,-5,0,-2,-2,-1
20191024-2015-camdenhells-rockets,camdenhells,greenmachine-ahmed,0,rockets,1,0,3,0,0,1,0,0,2,0,1,4,25.0,0,3,3,0,2,1,0,0,3,3,0,3,2,1,-3,-21,1010,-6,-2,-9,4,-2
20191024-2015-camdenhells-rockets,rockets,rockets-thriston,1,camdenhells,6,3,6,50.0,3,6,50.0,0,0,0,0,0,0,4,2,6,2,2,3,0,0,2,1,1,0,0,0,10,20,1305,3,4,9,-7,0
20191024-2015-camdenhells-rockets,rockets,lostangels-daria,1,camdenhells,9,3,6,50.0,0,1,0,3,5,60.0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,21,1366,6,2,7,-5,-1
20191024-2015-camdenhells-rockets,rockets,rockets-patricia,1,camdenhells,4,2,3,66.7,2,3,66.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,13,1431,0,2,12,-10,3
20191024-2015-camdenhells-rockets,rockets,rockets-marc,1,camdenhells,7,2,7,28.6,2,6,33.3,0,1,0,3,7,42.9,0,3,3,2,4,5,0,0,6,1,5,7,4,3,5,22,1545,4,4,9,-8,0
20191024-2015-camdenhells-rockets,rockets,rockets-paul,1,camdenhells,7,3,4,75.0,3,3,100.0,0,1,0,1,2,50.0,2,2,4,1,1,2,0,0,3,2,1,1,1,0,9,10,1140,-1,-1,9,-8,2
20191024-2015-camdenhells-rockets,rockets,rockets-alex,1,camdenhells,3,1,6,16.7,0,5,0,1,1,100.0,0,0,0,1,4,5,4,1,1,0,0,1,1,0,0,0,0,6,5,1105,6,2,6,-3,3
20191024-2015-camdenhells-rockets,rockets,rockets-darnell,1,camdenhells,6,3,5,60.0,3,5,60.0,0,0,0,0,1,0,3,3,6,1,3,0,0,0,1,1,0,3,1,2,9,5,1031,9,3,0,4,1
20191024-2015-camdenhells-rockets,rockets,ringers-yinka,1,camdenhells,7,2,8,25.0,2,8,25.0,0,0,0,3,4,75.0,1,2,3,1,1,3,0,0,1,0,1,3,2,1,8,4,1247,7,4,3,2,2
20191031-1845-hotshots-camdenhells,hotshots,hotshots-daniel,0,camdenhells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-12,1336,-15,-6,-4,6,6
20191031-1845-hotshots-camdenhells,hotshots,hotshots-weronika,0,camdenhells,3,1,5,20.0,1,5,20.0,0,0,0,1,2,50.0,0,4,4,0,0,0,0,0,1,1,0,1,1,0,2,-18,1551,-14,-11,-2,6,6
20191031-1845-hotshots-camdenhells,hotshots,hotshots-martin,0,camdenhells,6,3,9,33.3,3,8,37.5,0,1,0,0,0,0,1,5,6,0,1,0,1,1,2,2,0,1,0,1,4,-10,1476,-9,-5,-2,5,0
20191031-1845-hotshots-camdenhells,hotshots,hotshots-sharad,0,camdenhells,2,1,2,50.0,1,1,100.0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,6,4,2,0,0,0,-6,-18,1638,-21,-11,-5,8,6
20191031-1845-hotshots-camdenhells,hotshots,dropbears-mary,0,camdenhells,3,1,6,16.7,0,3,0,1,3,33.3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,-5,-6,1014,-9,-5,-4,4,-3
20191031-1845-hotshots-camdenhells,hotshots,burritos-allen,0,camdenhells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,152,0,-1,0,-1,-1
20191031-1845-hotshots-camdenhells,hotshots,hotshots-harrison,0,camdenhells,21,8,16,50.0,6,11,54.5,2,5,40.0,3,8,37.5,2,7,9,2,3,1,2,0,4,4,0,6,4,2,21,-19,1941,-22,-11,-4,6,4
20191031-1845-hotshots-camdenhells,hotshots,hotshots-marine,0,camdenhells,2,0,3,0,0,3,0,0,0,0,2,2,100.0,2,0,2,5,2,1,0,2,1,0,1,1,1,0,3,-14,1483,-23,-6,-4,6,7
20191031-1845-hotshots-camdenhells,camdenhells,camdenhells-sean,1,hotshots,3,1,4,25.0,1,4,25.0,0,0,0,1,2,50.0,2,1,3,5,2,0,0,0,2,2,0,2,1,1,5,12,1090,7,5,2,-4,-3
20191031-1845-hotshots-camdenhells,camdenhells,rockets-anna,1,hotshots,8,4,7,57.1,4,7,57.1,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,1,1,0,7,0,982,8,3,2,-4,-5
20191031-1845-hotshots-camdenhells,camdenhells,rockets-malachi,1,hotshots,26,9,18,50.0,9,18,50.0,0,0,0,8,11,72.7,8,6,14,1,1,0,4,1,1,1,0,7,7,0,37,22,1540,21,11,4,-6,-5
20191031-1845-hotshots-camdenhells,camdenhells,greenmachine-ahmed,1,hotshots,0,0,6,0,0,4,0,0,2,0,0,0,0,6,4,10,5,0,2,0,1,2,2,0,0,0,0,8,12,1080,17,8,4,-6,-2
20191031-1845-hotshots-camdenhells,camdenhells,lostangels-rob,1,hotshots,13,6,11,54.5,6,11,54.5,0,0,0,1,2,50.0,2,5,7,2,0,1,0,1,1,0,1,1,1,0,16,1,1005,8,2,1,-3,-3
20191031-1845-hotshots-camdenhells,camdenhells,lions-alfie,1,hotshots,4,2,6,33.3,2,6,33.3,0,0,0,0,2,0,3,2,5,1,1,2,0,0,0,0,0,1,1,0,6,11,679,11,6,2,-3,0
20191031-1845-hotshots-camdenhells,camdenhells,camdenhells-davidgalindo,1,hotshots,2,1,5,20.0,1,4,25.0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,2,0,0,0,0,7,653,3,5,2,-2,-1
20191031-1845-hotshots-camdenhells,camdenhells,lostangels-sophie,1,hotshots,0,0,3,0,0,2,0,0,1,0,0,0,0,0,2,2,3,0,1,1,1,1,1,0,1,0,1,3,23,1382,17,9,4,-5,0
20191031-1845-hotshots-camdenhells,camdenhells,camdenhells-jess,1,hotshots,2,1,3,33.3,1,2,50.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,19,1952,21,12,4,-7,-5
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-ahmed,0,burritos,11,4,9,44.4,1,3,33.3,3,6,50.0,0,2,0,2,4,6,0,4,2,1,0,1,1,0,1,1,0,9,-3,1116,-3,-5,-4,3,2
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-alex,0,burritos,5,2,10,20.0,2,9,22.2,0,1,0,1,1,100.0,4,9,13,0,8,2,0,2,3,2,1,1,1,0,0,-18,1545,0,-5,-9,10,1
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-allison,0,burritos,2,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,-2,-17,1130,-1,-1,-7,9,1
